ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,geometry,L2_norm
93,93,44.940246,-93.176992,2025-02-19T21:34:36Z,-0.411829,Grand Avenue West,0.080567,-0.32154,"c(NA, NA)",0.5286607024642553
94,94,44.940269,-93.176982,2025-02-19T21:34:37Z,-0.576591,Grand Avenue West,0.114629,-0.522336,"c(NA, NA)",0.7864044034833477
95,1,44.940203,-93.176976,2025-02-19T21:40:04Z,0.347811,Grand Avenue East,0.029258,-0.181486,"c(NA, NA)",0.3934027077702948
96,2,44.940207,-93.176981,2025-02-19T21:40:05Z,0.780006,Grand Avenue East,0.052937,-0.47706,"c(NA, NA)",0.9158591210470091
97,3,44.9402,-93.176977,2025-02-19T21:40:06Z,0.520237,Grand Avenue East,0.300784,-0.64153,"c(NA, NA)",0.8790212123293727
98,4,44.940185,-93.176967,2025-02-19T21:40:07Z,0.706467,Grand Avenue East,0.031137,-1.341813,"c(NA, NA)",1.5167489119254378
99,5,44.940154,-93.17695,2025-02-19T21:40:08Z,-0.223223,Grand Avenue East,-0.038878,-1.33309,"c(NA, NA)",1.3522089168146318
100,6,44.940117,-93.176916,2025-02-19T21:40:09Z,0.00616,Grand Avenue East,-0.012307,-1.20869,"c(NA, NA)",1.2087683499947375
101,7,44.940099,-93.176865,2025-02-19T21:40:10Z,0.031824,Grand Avenue East,-0.084854,-1.291555,"c(NA, NA)",1.2947305844526111
102,8,44.940084,-93.17679,2025-02-19T21:40:11Z,-0.057801,Grand Avenue East,0.073614,-1.1408,"c(NA, NA)",1.1446329615195432
103,9,44.940082,-93.176705,2025-02-19T21:40:12Z,0.044136,Grand Avenue East,0.048619,-0.559445,"c(NA, NA)",0.5632854531070369
104,10,44.94008,-93.176612,2025-02-19T21:40:13Z,0.162588,Grand Avenue East,-0.06433,-0.077119,"c(NA, NA)",0.19110349762628626
105,11,44.940081,-93.176515,2025-02-19T21:40:14Z,0.09732,Grand Avenue East,0.008736,0.094921,"c(NA, NA)",0.1362259018579066
106,12,44.940084,-93.17641,2025-02-19T21:40:15Z,-0.320281,Grand Avenue East,-0.057772,0.214857,"c(NA, NA)",0.38997570872299214
107,13,44.940086,-93.176302,2025-02-19T21:40:16Z,-0.366054,Grand Avenue East,-0.001133,0.093689,"c(NA, NA)",0.37785505597517155
108,14,44.940085,-93.176196,2025-02-19T21:40:17Z,0.038129,Grand Avenue East,-0.001952,0.046068,"c(NA, NA)",0.05983219508759477
109,15,44.940083,-93.176083,2025-02-19T21:40:18Z,0.084384,Grand Avenue East,-0.053395,0.07546,"c(NA, NA)",0.12516348141930217
110,16,44.940084,-93.175962,2025-02-19T21:40:19Z,-0.220291,Grand Avenue East,0.030153,0.030905,"c(NA, NA)",0.22448262096429644
111,17,44.940084,-93.175838,2025-02-19T21:40:20Z,-0.398942,Grand Avenue East,-0.053291,0.248912,"c(NA, NA)",0.47323549506456086
112,18,44.940082,-93.175715,2025-02-19T21:40:21Z,-0.320832,Grand Avenue East,-0.030323,0.027847,"c(NA, NA)",0.3234626902163525
113,19,44.940081,-93.175589,2025-02-19T21:40:22Z,-0.392655,Grand Avenue East,0.043852,0.055823,"c(NA, NA)",0.39902024291757426
114,20,44.940082,-93.175461,2025-02-19T21:40:23Z,-0.185319,Grand Avenue East,-0.177405,0.338671,"c(NA, NA)",0.4248690527998009
115,21,44.940083,-93.175335,2025-02-19T21:40:24Z,-0.270765,Grand Avenue East,-0.073102,0.233659,"c(NA, NA)",0.36503988262928205
116,22,44.940083,-93.175209,2025-02-19T21:40:25Z,-0.102314,Grand Avenue East,-0.023897,0.098166,"c(NA, NA)",0.14379076730096407
117,23,44.940081,-93.175082,2025-02-19T21:40:26Z,-0.129309,Grand Avenue East,-0.006546,0.094558,"c(NA, NA)",0.1603274242324126
118,24,44.940078,-93.174951,2025-02-19T21:40:27Z,-0.097077,Grand Avenue East,-0.051812,-0.039792,"c(NA, NA)",0.11701209568672805
119,25,44.940077,-93.174817,2025-02-19T21:40:28Z,-0.33055,Grand Avenue East,-0.00644,0.07787,"c(NA, NA)",0.339659407348008
