ID,seconds_elapsed,location_latitude,location_longitude,location_local_time,accelerometer_z,street_name,accelerometer_y_new,accelerometer_x_new,L2_norm,base_street,line_count,color
51,51,44.940125,-93.173861,2025-04-04T03:48:21Z,-0.009845,Grand Avenue West,-0.039613,-0.036147,0.05452265036661369,Grand Avenue,2,#990000
52,52,44.940127,-93.17402,2025-04-04T03:48:22Z,-0.203127,Grand Avenue West,-0.082004,0.056606,0.2262509080224873,Grand Avenue,2,#990000
53,53,44.940127,-93.174178,2025-04-04T03:48:23Z,-0.215193,Grand Avenue West,-0.272966,0.18839,0.395359654624748,Grand Avenue,2,#990000
54,54,44.940127,-93.174332,2025-04-04T03:48:24Z,-0.126806,Grand Avenue West,-0.033368,0.010095,0.1315108135667938,Grand Avenue,2,#990000
55,55,44.940132,-93.17448,2025-04-04T03:48:25Z,-0.070082,Grand Avenue West,-0.121281,0.031518,0.14357559684361407,Grand Avenue,2,#990000
56,56,44.940131,-93.174634,2025-04-04T03:48:26Z,-0.112302,Grand Avenue West,-0.028475,-0.040515,0.12273561037449564,Grand Avenue,2,#990000
57,57,44.94013,-93.174784,2025-04-04T03:48:27Z,-0.01941,Grand Avenue West,-0.034966,0.119922,0.12641461679726756,Grand Avenue,2,#990000
58,58,44.940129,-93.174936,2025-04-04T03:48:28Z,-0.064591,Grand Avenue West,-0.082591,0.072785,0.12763591495735047,Grand Avenue,2,#990000
59,59,44.94013,-93.175089,2025-04-04T03:48:29Z,-0.06637,Grand Avenue West,0.01785,0.119338,0.13771404301668005,Grand Avenue,2,#990000
60,60,44.94013,-93.175237,2025-04-04T03:48:30Z,-0.013074,Grand Avenue West,0.006339,-0.022924,0.027140784310701122,Grand Avenue,2,#990000
61,61,44.94013,-93.175382,2025-04-04T03:48:31Z,-0.00824,Grand Avenue West,-0.027852,0.026311,0.03919056295844703,Grand Avenue,2,#990000
62,62,44.94013,-93.175528,2025-04-04T03:48:32Z,-0.014892,Grand Avenue West,-0.069926,0.059364,0.09292739981297228,Grand Avenue,2,#990000
63,63,44.94013,-93.175676,2025-04-04T03:48:33Z,-0.040287,Grand Avenue West,0.013477,-0.018145,0.04619429535126605,Grand Avenue,2,#990000
64,64,44.940126,-93.175823,2025-04-04T03:48:34Z,-0.023108,Grand Avenue West,-0.045743,-0.030835,0.05980968933208063,Grand Avenue,2,#990000
65,65,44.940128,-93.175971,2025-04-04T03:48:35Z,-0.231736,Grand Avenue West,0.00599,0.020724,0.23273791691943965,Grand Avenue,2,#990000
66,66,44.940129,-93.176114,2025-04-04T03:48:36Z,-0.153061,Grand Avenue West,-0.081618,0.109227,0.20498708538344557,Grand Avenue,2,#990000
67,67,44.940128,-93.176255,2025-04-04T03:48:37Z,-0.327239,Grand Avenue West,-0.108002,0.25968,0.43148985796308126,Grand Avenue,2,#990000
68,68,44.94013,-93.176392,2025-04-04T03:48:38Z,-0.495418,Grand Avenue West,-0.129548,0.36622,0.6295544197509855,Grand Avenue,2,#990000
69,69,44.94013,-93.176522,2025-04-04T03:48:39Z,-0.630647,Grand Avenue West,-0.169046,0.360087,0.7456237900536704,Grand Avenue,2,#990000
70,70,44.940132,-93.176637,2025-04-04T03:48:40Z,-0.666574,Grand Avenue West,-0.160058,0.287862,0.743507896315836,Grand Avenue,2,#990000
71,71,44.940136,-93.176744,2025-04-04T03:48:41Z,-1.11316,Grand Avenue West,-0.215824,0.300953,1.1731487087257948,Grand Avenue,2,#990000
72,1,44.940068,-93.177003,2025-04-04T03:49:18Z,-0.454803,Grand Avenue East,-0.091173,-0.57879100000000006,0.741725897093394,Grand Avenue,2,#FCAE91
73,2,44.940064,-93.176928,2025-04-04T03:49:19Z,0.334546,Grand Avenue East,0.052745,-0.153884,0.3719991217691246,Grand Avenue,2,#FCAE91
74,3,44.940087,-93.176856,2025-04-04T03:49:20Z,0.349564,Grand Avenue East,0.05691,0.083177,0.3638023522807405,Grand Avenue,2,#FCAE91
75,4,44.940088,-93.176774,2025-04-04T03:49:21Z,0.352604,Grand Avenue East,0.101747,0.165318,0.4025072346542357,Grand Avenue,2,#FCAE91
76,5,44.940091,-93.176659,2025-04-04T03:49:22Z,0.255564,Grand Avenue East,0.045299,0.188534,0.3207959268023832,Grand Avenue,2,#FCAE91
77,6,44.940093,-93.17655,2025-04-04T03:49:23Z,0.077203,Grand Avenue East,0.037764,0.160288,0.1818754129864727,Grand Avenue,2,#FCAE91
78,7,44.940086,-93.176439,2025-04-04T03:49:24Z,-0.147112,Grand Avenue East,-0.096376,0.264016,0.3172297624372593,Grand Avenue,2,#FCAE91
79,8,44.940094,-93.176317,2025-04-04T03:49:25Z,-0.318084,Grand Avenue East,-0.040522,0.223695,0.39097175929343025,Grand Avenue,2,#FCAE91
80,9,44.940084,-93.176191,2025-04-04T03:49:26Z,-0.199144,Grand Avenue East,-0.033442,0.289642,0.35308524220646775,Grand Avenue,2,#FCAE91
81,10,44.940094,-93.176072,2025-04-04T03:49:27Z,-0.422623,Grand Avenue East,-0.041909,0.304132,0.5223627454499411,Grand Avenue,2,#FCAE91
82,11,44.940087,-93.175945,2025-04-04T03:49:28Z,-0.294425,Grand Avenue East,-0.053598,0.266662,0.4008334423086477,Grand Avenue,2,#FCAE91
83,12,44.940086,-93.175824,2025-04-04T03:49:29Z,-0.368364,Grand Avenue East,-0.103451,0.238694,0.45096449032379476,Grand Avenue,2,#FCAE91
84,13,44.940087,-93.175702,2025-04-04T03:49:30Z,-0.40338,Grand Avenue East,-0.062369,0.190738,0.4505400106594308,Grand Avenue,2,#FCAE91
85,14,44.940087,-93.175579,2025-04-04T03:49:31Z,-0.229036,Grand Avenue East,-0.145446,0.234994,0.35893482451275194,Grand Avenue,2,#FCAE91
86,15,44.940085,-93.175456,2025-04-04T03:49:32Z,-0.294114,Grand Avenue East,-0.192285,0.157682,0.38514955451746274,Grand Avenue,2,#FCAE91
87,16,44.940087,-93.175332,2025-04-04T03:49:33Z,-0.359978,Grand Avenue East,0.128375,0.119864,0.4005392360368707,Grand Avenue,2,#FCAE91
88,17,44.940086,-93.175215,2025-04-04T03:49:34Z,-0.204685,Grand Avenue East,-0.118846,0.144132,0.27711794305854687,Grand Avenue,2,#FCAE91
